"COUNTRY","Country","SEX","Sex","FIELD","Field of education","COUNTRY_ORIGIN","Country of origin","ISC11_LEVEL","Level of education","ISC11P_CAT","Category of education","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,53688,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,54830,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,56003,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,58271,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,60651,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,2488,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,2935,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,2797,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,3435,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,3239,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,19677,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,20601,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,21591,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,23203,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,22561,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,4963,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,5196,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,4946,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,5325,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,5840,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,21506,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,21655,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,21653,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,22278,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,26956,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,723,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,721,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,705,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,705,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,657,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,2169,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,2081,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,2122,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,2023,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,1939,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,86455,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,89857,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,81511,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,86022,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,87995,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,237630,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,243733,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,234960,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,251032,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,252784,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,15857,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,16956,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,14659,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,15763,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,16010,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,31239,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,32814,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,31784,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,35365,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,36369,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,46329,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,47601,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,46157,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,48416,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,49982,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,100006,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,101976,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,101488,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,107988,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,109580,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,2294,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,2272,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,2284,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,2319,,
"FRA","France","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,2255,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,4592,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,4555,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,4519,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,4596,,
"FRA","France","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,4458,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,9727,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,9956,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,12413,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,13277,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,13837,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,12953,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,12936,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,13737,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,17374,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,17213,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,2789,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,2983,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,4475,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,4830,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,4846,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,3865,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,3841,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,3819,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,6558,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,6187,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,3336,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,3340,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,3992,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,4494,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,4912,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,4481,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,4503,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,4998,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,5885,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L7","Master’s or equivalent level (ISCED2011 level 7)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,6086,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,3420,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,3475,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,3617,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,3637,,
"FRA","France","F","Women","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,3667,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,4490,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,4482,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,4708,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,4685,,
"FRA","France","M","Men","F05","Natural sciences, mathematics and statistics","W1","Rest of the World ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,4615,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,3645,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,3747,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,3670,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,3782,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,4035,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,9755,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,9758,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,9534,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,9623,,
"FRA","France","M","Men","F06","Information and Communication Technologies","W1","Rest of the World ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,9777,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,710,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,798,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,757,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,860,,
"FRA","France","F","Women","F06","Information and Communication Technologies","W1","Rest of the World ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,798,,
