"location","subject","time","mean.score"
"KOR","GIRL",2012,544.193
"KOR","GIRL",2015,528
"KOR","GIRL",2018,524
"LUX","BOY",2003,502
"LUX","BOY",2006,498
"LUX","BOY",2009,499
"LUX","BOY",2012,502.193
"LUX","BOY",2015,491
"LUX","BOY",2018,487
"LUX","GIRL",2003,485
"LUX","GIRL",2006,482
"LUX","GIRL",2009,479
"LUX","GIRL",2012,477.117
"LUX","GIRL",2015,480
"LUX","GIRL",2018,480
"MEX","BOY",2003,391
"MEX","BOY",2006,410
"MEX","BOY",2009,425
"MEX","BOY",2012,420.411
"MEX","BOY",2015,412
"MEX","BOY",2018,415
"MEX","GIRL",2003,380
"MEX","GIRL",2006,401
"MEX","GIRL",2009,412
"MEX","GIRL",2012,406.427
"MEX","GIRL",2015,404
"MEX","GIRL",2018,403
"NLD","BOY",2003,540
"NLD","BOY",2006,537
"NLD","BOY",2009,534
"NLD","BOY",2012,527.967
"NLD","BOY",2015,513
"NLD","BOY",2018,520
"NLD","GIRL",2003,535
"NLD","GIRL",2006,524
"NLD","GIRL",2009,517
"NLD","GIRL",2012,517.738
"NLD","GIRL",2015,511
"NLD","GIRL",2018,519
"NZL","BOY",2003,531
"NZL","BOY",2006,527
"NZL","BOY",2009,523
"NZL","BOY",2012,507.112
"NZL","BOY",2015,499
"NZL","BOY",2018,499
"NZL","GIRL",2003,516
"NZL","GIRL",2006,517
"NZL","GIRL",2009,515
"NZL","GIRL",2012,492.057
"NZL","GIRL",2015,491
"NZL","GIRL",2018,490
"NOR","BOY",2003,498
"NOR","BOY",2006,493
"NOR","BOY",2009,500
"NOR","BOY",2012,490.399
"NOR","BOY",2015,501
"NOR","BOY",2018,497
"NOR","GIRL",2003,492
"NOR","GIRL",2006,487
"NOR","GIRL",2009,495
"NOR","GIRL",2012,488.293
"NOR","GIRL",2015,503
"NOR","GIRL",2018,505
"POL","BOY",2003,493
"POL","BOY",2006,500
"POL","BOY",2009,497
"POL","BOY",2012,519.564
"POL","BOY",2015,510
"POL","BOY",2018,516
"POL","GIRL",2003,487
"POL","GIRL",2006,491
"POL","GIRL",2009,493
"POL","GIRL",2012,515.533
"POL","GIRL",2015,499
"POL","GIRL",2018,515
"PRT","BOY",2003,472
"PRT","BOY",2006,474
"PRT","BOY",2009,493
"PRT","BOY",2012,492.703
"PRT","BOY",2015,497
"PRT","BOY",2018,497
"PRT","GIRL",2003,460
"PRT","GIRL",2006,459
"PRT","GIRL",2009,481
"PRT","GIRL",2012,481.296
"PRT","GIRL",2015,487
"PRT","GIRL",2018,488
"SVK","BOY",2003,507
"SVK","BOY",2006,499
"SVK","BOY",2009,498
"SVK","BOY",2012,486.134
"SVK","BOY",2015,478
"SVK","BOY",2018,488
"SVK","GIRL",2003,489
"SVK","GIRL",2006,485
"SVK","GIRL",2009,495
"SVK","GIRL",2012,476.712
"SVK","GIRL",2015,472
"SVK","GIRL",2018,484
"ESP","BOY",2003,490
"ESP","BOY",2006,484
"ESP","BOY",2009,493
"ESP","BOY",2012,492.422
"ESP","BOY",2015,494
"ESP","BOY",2018,485
"ESP","GIRL",2003,481
"ESP","GIRL",2006,476
"ESP","GIRL",2009,474
"ESP","GIRL",2012,475.965
"ESP","GIRL",2015,478
"ESP","GIRL",2018,478
"SWE","BOY",2003,512
"SWE","BOY",2006,505
"SWE","BOY",2009,493
"SWE","BOY",2012,476.916
"SWE","BOY",2015,493
"SWE","BOY",2018,502
"SWE","GIRL",2003,506
"SWE","GIRL",2006,500
"SWE","GIRL",2009,495
"SWE","GIRL",2012,479.629
"SWE","GIRL",2015,495
"SWE","GIRL",2018,503
"CHE","BOY",2003,535
"CHE","BOY",2006,536
"CHE","BOY",2009,544
"CHE","BOY",2012,537.369
"CHE","BOY",2015,527
"CHE","BOY",2018,519
"CHE","GIRL",2003,518
"CHE","GIRL",2006,523
"CHE","GIRL",2009,524
"CHE","GIRL",2012,524.473
"CHE","GIRL",2015,515
"CHE","GIRL",2018,512
"TUR","BOY",2003,430
"TUR","BOY",2006,427
"TUR","BOY",2009,451
"TUR","BOY",2012,451.934
"TUR","BOY",2015,423
"TUR","BOY",2018,456
"TUR","GIRL",2003,415
"TUR","GIRL",2006,421
"TUR","GIRL",2009,440
"TUR","GIRL",2012,443.948
"TUR","GIRL",2015,418
"TUR","GIRL",2018,451
"GBR","BOY",2006,504
"GBR","BOY",2009,503
"GBR","BOY",2012,500.295
"GBR","BOY",2015,498
"GBR","BOY",2018,508
"GBR","GIRL",2006,487
"GBR","GIRL",2009,482
"GBR","GIRL",2012,487.815
"GBR","GIRL",2015,487
"GBR","GIRL",2018,496
"USA","BOY",2003,486
"USA","BOY",2006,479
"USA","BOY",2009,497
"USA","BOY",2012,483.647
"USA","BOY",2015,474
"USA","BOY",2018,482
"USA","GIRL",2003,480
"USA","GIRL",2006,470
"USA","GIRL",2009,477
"USA","GIRL",2012,478.995
"USA","GIRL",2015,465
"USA","GIRL",2018,474
"BRA","BOY",2003,365
"BRA","BOY",2006,380
"BRA","BOY",2009,394
"BRA","BOY",2012,400.769
"BRA","BOY",2015,385
"BRA","BOY",2018,388
"BRA","GIRL",2003,348
"BRA","GIRL",2006,361
"BRA","GIRL",2009,379
"BRA","GIRL",2012,382.925
"BRA","GIRL",2015,370
"BRA","GIRL",2018,379
"CHL","BOY",2006,424
"CHL","BOY",2009,431
