"country","sex","field","level.of.education","year","percent","flags"
"Australia","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.148,""
"Australia","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,26.669,""
"Australia","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,12.375,""
"Australia","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,18.186,""
"Australia","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,8.938,""
"Australia","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,19.705,""
"Australia","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.968,""
"Australia","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.709,""
"Australia","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.359,""
"Australia","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.749,""
"Australia","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.89,""
"Australia","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.087,""
"Australia","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.13,""
"Austria","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Austria","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Austria","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Austria","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Austria","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Austria","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Austria","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,23.894,""
"Austria","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.065,""
"Austria","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,17.673,""
"Austria","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,7.458,""
"Austria","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.896,""
"Austria","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.762,""
"Austria","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,12.298,""
"Austria","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.965,""
"Austria","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,9.683,""
"Austria","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,6.342,""
"Austria","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,19.234,""
"Austria","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.039,""
"Austria","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,18.114,""
"Austria","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,16.256,""
