"country","sex","field","level.of.education","year","percent","flags"
"Italy","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,7.346,""
"Italy","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.462,""
"Italy","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.696,""
"Italy","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,14.287,""
"Italy","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,21.833,""
"Italy","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,24.973,""
"Italy","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,28.978,""
"Italy","F","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.226,""
"Italy","M","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,10.42,""
"Italy","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.706,""
"Italy","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.348,""
"Italy","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,7.889,""
"Italy","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,7.108,""
"Italy","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,24.387,""
"Italy","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,23.486,""
"Italy","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.309,""
"Italy","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.697,""
"Italy","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,0.145,""
"Italy","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,1.022,""
"Italy","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.817,""
"Italy","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.227,""
"Italy","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.83,""
"Italy","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,25.152,""
"Italy","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,10.373,""
"Italy","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,27.386,""
"Italy","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,15.677,""
"Italy","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,29.204,""
"Italy","F","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.263,""
"Italy","M","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.333,""
"Italy","F","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,2.158,""
"Italy","M","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,2.533,""
"Italy","F","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,6.237,""
"Italy","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.041,""
"Italy","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,14.473,""
"Italy","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,11.964,""
"Italy","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,16.927,""
"Italy","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,15.723,""
"Italy","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,20.043,""
"Italy","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.596,""
"Italy","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.066,""
"Italy","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.321,""
"Italy","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.04,""
"Italy","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.264,""
"Italy","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Italy","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Japan","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Japan","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Japan","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Japan","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Japan","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Japan","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Japan","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,11.781,"Includes data from another category"
"Japan","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.503,"Includes data from another category"
"Japan","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,7.619,"Includes data from another category"
"Japan","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,4.083,"Includes data from another category"
"Japan","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.578,"Includes data from another category"
"Japan","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.142,"Includes data from another category"
"Japan","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,29.457,"Includes data from another category"
"Japan","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,11.16,"Includes data from another category"
"Japan","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,12.808,"Includes data from another category"
"Japan","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,3.654,"Includes data from another category"
"Japan","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,14.93,"Includes data from another category"
"Japan","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.384,"Includes data from another category"
"Japan","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,11.232,"Includes data from another category"
"Japan","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.685,"Includes data from another category"
"Japan","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,3.876,"Includes data from another category"
"Japan","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,2.258,"Includes data from another category"
"Japan","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.049,"Includes data from another category"
"Japan","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.374,"Includes data from another category"
"Japan","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,18.247,"Includes data from another category"
"Japan","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,34.075,"Includes data from another category"
"Japan","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,9.949,"Includes data from another category"
"Japan","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,9.927,"Includes data from another category"
"Japan","F","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.762,"Includes data from another category"
"Japan","M","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.917,"Includes data from another category"
"Japan","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.185,"Includes data from another category"
"Japan","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4.74,"Includes data from another category"
"Japan","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,6.854,"Includes data from another category"
"Japan","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,11.262,"Includes data from another category"
"Japan","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.915,"Includes data from another category"
"Japan","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,16.007,"Includes data from another category"
"Japan","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,NA,"Data included in another category"
"Japan","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,NA,"Data included in another category"
"Japan","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,NA,"Data included in another category"
"Japan","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,NA,"Data included in another category"
"Japan","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,NA,"Data included in another category"
"Japan","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,NA,"Data included in another category"
"Japan","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.281,"Includes data from another category"
"Japan","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,27.091,"Includes data from another category"
"Japan","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,11.957,"Includes data from another category"
"Japan","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,43.407,"Includes data from another category"
"Japan","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.847,"Includes data from another category"
"Japan","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,27.103,"Includes data from another category"
"Japan","F","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.188,"Includes data from another category"
"Japan","M","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.274,"Includes data from another category"
"Japan","F","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,6.245,"Includes data from another category"
"Japan","M","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,4.749,"Includes data from another category"
"Japan","F","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.338,"Includes data from another category"
"Japan","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.693,"Includes data from another category"
"Japan","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,11.897,"Includes data from another category"
"Japan","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.948,"Includes data from another category"
"Japan","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,39.646,"Includes data from another category"
"Japan","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,20.58,"Includes data from another category"
"Japan","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,41.73,"Includes data from another category"
"Japan","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,37.273,"Includes data from another category"
"Japan","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.732,"Includes data from another category"
"Japan","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.524,"Includes data from another category"
"Japan","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,1.046,"Includes data from another category"
"Japan","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.08,"Includes data from another category"
"Japan","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.851,"Includes data from another category"
"Japan","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.106,"Includes data from another category"
"Korea","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Korea","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Korea","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Korea","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Korea","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Korea","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Korea","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.19,""
"Korea","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.628,""
"Korea","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,24.561,""
"Korea","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,8.265,""
"Korea","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.885,""
"Korea","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.575,""
"Korea","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,24.865,""
"Korea","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,11.554,""
"Korea","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,14.759,""
"Korea","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,12.12,""
"Korea","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,16.007,""
"Korea","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,6.942,""
"Korea","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.327,""
"Korea","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.253,""
"Korea","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,12.405,""
"Korea","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,5.689,""
"Korea","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,6.314,""
"Korea","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.953,""
"Korea","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,15.148,""
"Korea","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,17.267,""
"Korea","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,13.809,""
"Korea","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,22.75,""
"Korea","F","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.579,""
"Korea","M","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.47,""
"Korea","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.905,""
"Korea","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.953,""
"Korea","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,5.328,""
"Korea","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,5.126,""
"Korea","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,12.535,""
"Korea","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.683,""
"Korea","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.443,""
"Korea","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.128,""
"Korea","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,1.083,""
"Korea","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,5.076,""
"Korea","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.318,""
"Korea","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.479,""
"Korea","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.009,""
"Korea","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,32.014,""
"Korea","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,6.476,""
"Korea","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,24.397,""
"Korea","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.341,""
"Korea","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,33.524,""
"Korea","F","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.346,""
"Korea","M","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.683,""
"Korea","F","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.054,""
"Korea","M","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.522,""
"Korea","F","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.931,""
"Korea","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.698,""
"Korea","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,17.318,""
"Korea","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.773,""
"Korea","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,17.556,""
"Korea","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,11.359,""
"Korea","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,26.778,""
"Korea","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.951,""
"Korea","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.45,""
"Korea","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.747,""
"Korea","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,2.969,""
"Korea","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,3.696,""
"Korea","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.311,""
"Korea","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.725,""
"Luxembourg","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Luxembourg","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Luxembourg","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Luxembourg","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Luxembourg","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Luxembourg","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Luxembourg","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,20.944,""
"Luxembourg","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.602,""
"Luxembourg","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,6.213,""
"Luxembourg","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,1.42,""
"Luxembourg","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.859,""
"Luxembourg","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.704,""
"Luxembourg","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,16.814,""
"Luxembourg","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.753,""
"Luxembourg","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,7.396,""
"Luxembourg","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,2.841,""
"Luxembourg","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,12.676,""
"Luxembourg","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.938,""
"Luxembourg","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,21.829,""
"Luxembourg","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,20.43,""
"Luxembourg","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,8.58,""
"Luxembourg","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,4.83,""
"Luxembourg","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,22.535,""
"Luxembourg","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.642,""
"Luxembourg","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,29.794,""
"Luxembourg","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,24.014,""
"Luxembourg","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,64.497,""
"Luxembourg","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,72.727,""
"Luxembourg","F","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,18.31,""
"Luxembourg","M","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.642,""
"Luxembourg","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.95,""
"Luxembourg","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.168,""
"Luxembourg","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,2.663,""
"Luxembourg","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,3.693,""
"Luxembourg","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,21.127,""
"Luxembourg","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,24.691,""
"Luxembourg","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.59,""
"Luxembourg","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.168,""
"Luxembourg","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,0.888,""
"Luxembourg","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,4.545,""
"Luxembourg","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.451,""
"Luxembourg","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,34.568,""
"Luxembourg","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.77,""
"Luxembourg","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,16.846,""
"Luxembourg","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,1.775,""
"Luxembourg","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,5.398,""
"Luxembourg","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.042,""
"Luxembourg","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,14.815,""
"Luxembourg","F","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Luxembourg","M","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Luxembourg","F","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,0.296,""
"Luxembourg","M","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,0.284,""
"Luxembourg","F","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Luxembourg","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Luxembourg","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Luxembourg","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Luxembourg","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,6.213,""
"Luxembourg","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,1.42,""
"Luxembourg","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Luxembourg","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Luxembourg","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.31,""
"Luxembourg","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.018,""
"Luxembourg","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,1.479,""
"Luxembourg","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,2.841,""
"Luxembourg","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Luxembourg","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Mexico","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Mexico","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Mexico","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Mexico","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Mexico","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Mexico","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Mexico","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,14.831,""
"Mexico","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.153,""
"Mexico","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,34.726,""
"Mexico","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,21.209,""
"Mexico","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,44.98,""
"Mexico","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,31.323,""
"Mexico","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4.258,""
"Mexico","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.548,""
"Mexico","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,1.748,""
"Mexico","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,1.819,""
"Mexico","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.82,""
"Mexico","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.224,""
