"","country","sex","age","numeracy.level","year","earn.month","flags"
"460","Slovenia","M","25-64 years","Level (2)",2015,2000,""
"461","Slovenia","F","25-64 years","Level (3)",2015,2200,""
"462","Slovenia","M","25-64 years","Level (3)",2015,2400,""
"463","Slovenia","F","25-64 years","Level (4/5)",2015,2600,""
"464","Slovenia","M","25-64 years","Level (4/5)",2015,2800,""
"465","Flanders","F","25-64 years","Level (0/1)",2012,17,""
"466","Flanders","M","25-64 years","Level (0/1)",2012,11,""
"467","Flanders","F","25-64 years","Level (2)",2012,33,""
"468","Flanders","M","25-64 years","Level (2)",2012,25,""
"469","Flanders","F","25-64 years","Level (3)",2012,37,""
"470","Flanders","M","25-64 years","Level (3)",2012,39,""
"471","Flanders","F","25-64 years","Level (4/5)",2012,12,""
"472","Flanders","M","25-64 years","Level (4/5)",2012,25,""
"473","Flanders","F","25-64 years","Level (0/1)",2012,2400,""
"474","Flanders","M","25-64 years","Level (0/1)",2012,3100,""
"475","Flanders","F","25-64 years","Level (2)",2012,2900,""
"476","Flanders","M","25-64 years","Level (2)",2012,3600,""
"477","Flanders","F","25-64 years","Level (3)",2012,3400,""
"478","Flanders","M","25-64 years","Level (3)",2012,4100,""
"479","Flanders","F","25-64 years","Level (4/5)",2012,3800,""
"480","Flanders","M","25-64 years","Level (4/5)",2012,4900,""
"481","England","F","25-64 years","Level (0/1)",2012,27,""
"482","England","M","25-64 years","Level (0/1)",2012,21,""
"483","England","F","25-64 years","Level (2)",2012,36,""
"484","England","M","25-64 years","Level (2)",2012,30,""
"485","England","F","25-64 years","Level (3)",2012,29,""
"486","England","M","25-64 years","Level (3)",2012,33,""
"487","England","F","25-64 years","Level (4/5)",2012,8,""
"488","England","M","25-64 years","Level (4/5)",2012,16,""
"489","England","F","25-64 years","Level (0/1)",2012,1900,""
"490","England","M","25-64 years","Level (0/1)",2012,2400,""
"491","England","F","25-64 years","Level (2)",2012,2500,""
"492","England","M","25-64 years","Level (2)",2012,3000,""
"493","England","F","25-64 years","Level (3)",2012,3300,""
"494","England","M","25-64 years","Level (3)",2012,3800,""
"495","England","F","25-64 years","Level (4/5)",2012,3800,""
"496","England","M","25-64 years","Level (4/5)",2012,4600,""
"497","Northern Ireland","F","25-64 years","Level (0/1)",2012,29,""
"498","Northern Ireland","M","25-64 years","Level (0/1)",2012,22,""
"499","Northern Ireland","F","25-64 years","Level (2)",2012,39,""
"500","Northern Ireland","M","25-64 years","Level (2)",2012,33,""
"501","Northern Ireland","F","25-64 years","Level (3)",2012,26,""
"502","Northern Ireland","M","25-64 years","Level (3)",2012,33,""
"503","Northern Ireland","F","25-64 years","Level (4/5)",2012,5,""
"504","Northern Ireland","M","25-64 years","Level (4/5)",2012,12,""
"505","Northern Ireland","F","25-64 years","Level (0/1)",2012,1800,""
"506","Northern Ireland","M","25-64 years","Level (0/1)",2012,2000,""
"507","Northern Ireland","F","25-64 years","Level (2)",2012,2300,""
"508","Northern Ireland","M","25-64 years","Level (2)",2012,2500,""
"509","Northern Ireland","F","25-64 years","Level (3)",2012,2900,""
"510","Northern Ireland","M","25-64 years","Level (3)",2012,3300,""
"511","Northern Ireland","F","25-64 years","Level (4/5)",2012,3100,""
"512","Northern Ireland","M","25-64 years","Level (4/5)",2012,3900,""
"513","Unweighted average (Unitary countries)","F","25-64 years","Level (0/1)",2012,26,""
"514","Unweighted average (Unitary countries)","M","25-64 years","Level (0/1)",2012,21,""
"515","Unweighted average (Unitary countries)","F","25-64 years","Level (2)",2012,35,""
"516","Unweighted average (Unitary countries)","M","25-64 years","Level (2)",2012,31,""
"517","Unweighted average (Unitary countries)","F","25-64 years","Level (3)",2012,30,""
"518","Unweighted average (Unitary countries)","M","25-64 years","Level (3)",2012,34,""
"519","Unweighted average (Unitary countries)","F","25-64 years","Level (4/5)",2012,8,""
"520","Unweighted average (Unitary countries)","M","25-64 years","Level (4/5)",2012,15,""
"521","Unweighted average (Unitary countries)","F","25-64 years","Level (0/1)",2012,1924,""
"522","Unweighted average (Unitary countries)","M","25-64 years","Level (0/1)",2012,2355,""
"523","Unweighted average (Unitary countries)","F","25-64 years","Level (2)",2012,2307,""
"524","Unweighted average (Unitary countries)","M","25-64 years","Level (2)",2012,2834,""
"525","Unweighted average (Unitary countries)","F","25-64 years","Level (3)",2012,2772,""
"526","Unweighted average (Unitary countries)","M","25-64 years","Level (3)",2012,3407,""
"527","Unweighted average (Unitary countries)","F","25-64 years","Level (4/5)",2012,3374,""
"528","Unweighted average (Unitary countries)","M","25-64 years","Level (4/5)",2012,4100,""
