"","country","sex","field.of.education","level.of.education","year","value","flag.codes","flags"
"54","Australia","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,5094.589,"",""
"55","Australia","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6363.901,"",""
"56","Australia","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,23763,"",""
"57","Australia","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,25041,"",""
"58","Australia","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,26220.579,"",""
"59","Australia","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,28057.615,"",""
"60","Australia","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,31789.24,"",""
"61","Australia","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2013,2834,"",""
"62","Australia","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2014,3582,"",""
"63","Australia","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2015,4120.228,"",""
"64","Australia","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2016,4948.882,"",""
"65","Australia","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,6250.292,"",""
"66","Australia","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2013,9261,"",""
"67","Australia","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2014,11487,"",""
"68","Australia","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2015,12642.254,"",""
"69","Australia","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2016,14436.265,"",""
"70","Australia","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,16576.901,"",""
"71","Australia","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2013,536,"",""
"72","Australia","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2014,582,"",""
"73","Australia","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2015,603,"",""
"74","Australia","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2016,644,"",""
"75","Australia","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,636,"",""
"76","Australia","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2013,1438,"",""
"77","Australia","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2014,1540,"",""
"78","Australia","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2015,1614,"",""
"79","Australia","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2016,1679,"",""
"80","Australia","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1631,"",""
"81","Australia","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2013,36071,"",""
"82","Australia","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2014,36333,"",""
"83","Australia","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2015,35032.957,"",""
"84","Australia","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2016,37168.898,"",""
"85","Australia","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2017,35848.217,"",""
"86","Australia","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2013,118603,"",""
"87","Australia","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2014,120765,"",""
