"","country","sex","field.of.education","level.of.education","year","value","flag.codes","flags"
"2626","Iceland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2013,21,"",""
"2627","Iceland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2014,33,"",""
"2628","Iceland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2015,35,"",""
"2629","Iceland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2016,24,"",""
"2630","Iceland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,34,"",""
"2631","Iceland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2013,2,"",""
"2632","Iceland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2014,2,"",""
"2633","Iceland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2015,6,"",""
"2634","Iceland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2016,5,"",""
"2635","Iceland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4,"",""
"2636","Iceland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2013,4,"",""
"2637","Iceland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2014,8,"",""
"2638","Iceland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2015,8,"",""
"2639","Iceland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2016,7,"",""
"2640","Iceland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,6,"",""
"2641","Ireland","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2013,8409,"",""
"2642","Ireland","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2014,9507,"",""
"2643","Ireland","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2015,10041,"",""
"2644","Ireland","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2016,10400,"",""
"2645","Ireland","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2017,10716,"",""
"2646","Ireland","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2013,9717,"",""
"2647","Ireland","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2014,10181,"",""
"2648","Ireland","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2015,10371,"",""
"2649","Ireland","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2016,10525,"",""
"2650","Ireland","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2017,10842,"",""
"2651","Ireland","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,5677,"",""
"2652","Ireland","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,7915,"",""
"2653","Ireland","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,8245,"",""
"2654","Ireland","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,8552,"",""
"2655","Ireland","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8731,"",""
"2656","Ireland","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,6626,"",""
"2657","Ireland","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,8289,"",""
"2658","Ireland","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,8275,"",""
"2659","Ireland","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,8489,"",""
"2660","Ireland","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8559,"",""
"2661","Ireland","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2013,586,"",""
"2662","Ireland","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2014,544,"",""
"2663","Ireland","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2015,658,"",""
"2664","Ireland","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2016,669,"",""
"2665","Ireland","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,662,"",""
"2666","Ireland","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2013,628,"",""
"2667","Ireland","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2014,621,"",""
"2668","Ireland","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2015,713,"",""
"2669","Ireland","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2016,650,"",""
"2670","Ireland","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,684,"",""
"2671","Ireland","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2013,876,"",""
"2672","Ireland","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2014,810,"",""
"2673","Ireland","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2015,839,"",""
"2674","Ireland","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2016,876,"",""
"2675","Ireland","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,855,"",""
"2676","Ireland","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2013,966,"",""
"2677","Ireland","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2014,975,"",""
"2678","Ireland","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2015,968,"",""
"2679","Ireland","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2016,985,"",""
"2680","Ireland","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,924,"",""
"2681","Ireland","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2013,3543,"",""
"2682","Ireland","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2014,2482,"",""
"2683","Ireland","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2015,2604,"",""
"2684","Ireland","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2016,2826,"",""
"2685","Ireland","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2017,3054,"",""
"2686","Ireland","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2013,12275,"",""
"2687","Ireland","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2014,12200,"",""
"2688","Ireland","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2015,12599,"",""
"2689","Ireland","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2016,12942,"",""
"2690","Ireland","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2017,13500,"",""
"2691","Ireland","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,2145,"",""
"2692","Ireland","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,1688,"",""
"2693","Ireland","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,1801,"",""
"2694","Ireland","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,2039,"",""
"2695","Ireland","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2192,"",""
"2696","Ireland","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,6225,"",""
"2697","Ireland","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,9160,"",""
"2698","Ireland","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,9856,"",""
"2699","Ireland","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,10335,"",""
"2700","Ireland","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10538,"",""
"2701","Ireland","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2013,624,"",""
"2702","Ireland","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2014,454,"",""
"2703","Ireland","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2015,489,"",""
"2704","Ireland","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2016,489,"",""
"2705","Ireland","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,594,"",""
"2706","Ireland","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2013,2453,"",""
"2707","Ireland","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2014,1854,"",""
"2708","Ireland","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2015,1689,"",""
"2709","Ireland","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2016,1623,"",""
"2710","Ireland","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,1917,"",""
"2711","Ireland","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2013,145,"",""
"2712","Ireland","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2014,116,"",""
"2713","Ireland","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2015,103,"",""
"2714","Ireland","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2016,111,"",""
"2715","Ireland","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,120,"",""
"2716","Ireland","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2013,354,"",""
"2717","Ireland","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2014,305,"",""
"2718","Ireland","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2015,289,"",""
"2719","Ireland","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2016,280,"",""
"2720","Ireland","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,298,"",""
"2721","Ireland","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2013,3385,"",""
"2722","Ireland","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2014,3386,"",""
"2723","Ireland","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2015,3585,"",""
"2724","Ireland","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2016,3979,"",""
"2725","Ireland","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2017,4275,"",""
"2726","Ireland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2013,18498,"",""
"2727","Ireland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2014,18345,"",""
"2728","Ireland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2015,18315,"",""
"2729","Ireland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2016,18820,"",""
"2730","Ireland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2017,19084,"",""
"2731","Ireland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,1766,"",""
"2732","Ireland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,2377,"",""
"2733","Ireland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,2439,"",""
"2734","Ireland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,2729,"",""
"2735","Ireland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2824,"",""
"2736","Ireland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,8445,"",""
"2737","Ireland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,14930,"",""
"2738","Ireland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,14788,"",""
"2739","Ireland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,15124,"",""
"2740","Ireland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,14912,"",""
"2741","Ireland","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2013,570,"",""
"2742","Ireland","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2014,421,"",""
"2743","Ireland","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2015,544,"",""
"2744","Ireland","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2016,549,"",""
"2745","Ireland","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,585,"",""
"2746","Ireland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2013,1677,"",""
"2747","Ireland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2014,1176,"",""
"2748","Ireland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2015,1296,"",""
"2749","Ireland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2016,1331,"",""
"2750","Ireland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,1408,"",""
"2751","Ireland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2013,266,"",""
"2752","Ireland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2014,258,"",""
"2753","Ireland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2015,293,"",""
"2754","Ireland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2016,340,"",""
"2755","Ireland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,354,"",""
"2756","Ireland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2013,832,"",""
"2757","Ireland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2014,778,"",""
"2758","Ireland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2015,783,"",""
"2759","Ireland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2016,785,"",""
"2760","Ireland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,791,"",""
"2761","Ireland","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2013,NA,"x","Data included in another category"
"2762","Ireland","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2014,478,"",""
"2763","Ireland","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2015,760,"",""
"2764","Ireland","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2016,873,"",""
"2765","Ireland","F","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2017,848,"",""
"2766","Ireland","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2013,NA,"x","Data included in another category"
"2767","Ireland","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2014,507,"",""
"2768","Ireland","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2015,723,"",""
"2769","Ireland","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2016,755,"",""
"2770","Ireland","M","Natural sciences, mathematics and statistics","Total tertiary education (ISCED2011 levels 5 to 8)",2017,741,"",""
"2771","Ireland","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,NA,"x","Data included in another category"
"2772","Ireland","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,184,"",""
"2773","Ireland","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,378,"",""
"2774","Ireland","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,448,"",""
"2775","Ireland","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,450,"",""
"2776","Ireland","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,NA,"x","Data included in another category"
"2777","Ireland","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,181,"",""
"2778","Ireland","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,321,"",""
"2779","Ireland","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,326,"",""
"2780","Ireland","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,313,"",""
"2781","Ireland","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2013,NA,"x","Data included in another category"
"2782","Ireland","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2014,96,"",""
"2783","Ireland","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2015,143,"",""
"2784","Ireland","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2016,176,"",""
"2785","Ireland","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,143,"",""
"2786","Ireland","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2013,NA,"x","Data included in another category"
"2787","Ireland","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2014,101,"",""
"2788","Ireland","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2015,116,"",""
"2789","Ireland","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2016,124,"",""
"2790","Ireland","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,129,"",""
"2791","Ireland","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2013,NA,"x","Data included in another category"
"2792","Ireland","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2014,192,"",""
"2793","Ireland","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2015,231,"",""
"2794","Ireland","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2016,242,"",""
"2795","Ireland","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,244,"",""
"2796","Ireland","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2013,NA,"x","Data included in another category"
"2797","Ireland","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2014,224,"",""
"2798","Ireland","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2015,279,"",""
"2799","Ireland","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2016,302,"",""
"2800","Ireland","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,290,"",""
"2801","Ireland","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2013,NA,"x","Data included in another category"
"2802","Ireland","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2014,192,"",""
"2803","Ireland","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2015,263,"",""
"2804","Ireland","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2016,335,"",""
"2805","Ireland","F","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2017,464,"",""
"2806","Ireland","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2013,NA,"x","Data included in another category"
"2807","Ireland","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2014,888,"",""
"2808","Ireland","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2015,1022,"",""
"2809","Ireland","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2016,1125,"",""
"2810","Ireland","M","Information and Communication Technologies","Total tertiary education (ISCED2011 levels 5 to 8)",2017,1373,"",""
"2811","Ireland","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,NA,"x","Data included in another category"
"2812","Ireland","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,55,"",""
"2813","Ireland","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,87,"",""
"2814","Ireland","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,118,"",""
"2815","Ireland","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,138,"",""
"2816","Ireland","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,NA,"x","Data included in another category"
"2817","Ireland","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,313,"",""
"2818","Ireland","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,379,"",""
"2819","Ireland","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,428,"",""
"2820","Ireland","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,470,"",""
"2821","Ireland","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2013,NA,"x","Data included in another category"
"2822","Ireland","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2014,92,"",""
"2823","Ireland","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2015,127,"",""
"2824","Ireland","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2016,153,"",""
"2825","Ireland","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,259,"",""
"2826","Ireland","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2013,NA,"x","Data included in another category"
"2827","Ireland","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2014,436,"",""
"2828","Ireland","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2015,468,"",""
"2829","Ireland","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2016,542,"",""
"2830","Ireland","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,736,"",""
"2831","Ireland","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2013,NA,"x","Data included in another category"
"2832","Ireland","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2014,39,"",""
"2833","Ireland","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2015,38,"",""
"2834","Ireland","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2016,50,"",""
"2835","Ireland","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,61,"",""
"2836","Ireland","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2013,NA,"x","Data included in another category"
"2837","Ireland","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2014,123,"",""
"2838","Ireland","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2015,129,"",""
"2839","Ireland","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2016,132,"",""
"2840","Ireland","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,144,"",""
"2841","Ireland","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2013,NA,"x","Data included in another category"
"2842","Ireland","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2014,274,"",""
"2843","Ireland","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2015,456,"",""
"2844","Ireland","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2016,615,"",""
"2845","Ireland","F","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2017,587,"",""
"2846","Ireland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2013,NA,"x","Data included in another category"
"2847","Ireland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2014,1056,"",""
"2848","Ireland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2015,1481,"",""
"2849","Ireland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2016,1831,"",""
"2850","Ireland","M","Engineering, manufacturing and construction","Total tertiary education (ISCED2011 levels 5 to 8)",2017,1611,"",""
"2851","Ireland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,NA,"x","Data included in another category"
"2852","Ireland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,149,"",""
"2853","Ireland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,226,"",""
"2854","Ireland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,327,"",""
"2855","Ireland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,259,"",""
"2856","Ireland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2013,NA,"x","Data included in another category"
"2857","Ireland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2014,648,"",""
"2858","Ireland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2015,962,"",""
"2859","Ireland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2016,1254,"",""
