"","location","subject","time","mean.score"
"166","LUX","GIRL",2012,483.484
"167","LUX","GIRL",2015,479
"168","LUX","GIRL",2018,479
"169","MEX","BOY",2006,413
"170","MEX","BOY",2009,419
"171","MEX","BOY",2012,418.128
"172","MEX","BOY",2015,420
"173","MEX","BOY",2018,424
"174","MEX","GIRL",2006,406
"175","MEX","GIRL",2009,413
"176","MEX","GIRL",2012,411.836
"177","MEX","GIRL",2015,412
"178","MEX","GIRL",2018,415
"179","NLD","BOY",2006,528
"180","NLD","BOY",2009,524
"181","NLD","BOY",2012,523.622
"182","NLD","BOY",2015,511
"183","NLD","BOY",2018,499
"184","NLD","GIRL",2006,521
"185","NLD","GIRL",2009,520
"186","NLD","GIRL",2012,520.415
"187","NLD","GIRL",2015,507
"188","NLD","GIRL",2018,508
"189","NZL","BOY",2006,528
"190","NZL","BOY",2009,529
"191","NZL","BOY",2012,517.875
"192","NZL","BOY",2015,516
"193","NZL","BOY",2018,509
"194","NZL","GIRL",2006,532
"195","NZL","GIRL",2009,535
"196","NZL","GIRL",2012,513.297
"197","NZL","GIRL",2015,511
"198","NZL","GIRL",2018,508
"199","NOR","BOY",2006,484
"200","NOR","BOY",2009,498
"201","NOR","BOY",2012,492.792
"202","NOR","BOY",2015,500
"203","NOR","BOY",2018,485
"204","NOR","GIRL",2006,489
"205","NOR","GIRL",2009,502
"206","NOR","GIRL",2012,496.346
"207","NOR","GIRL",2015,497
"208","NOR","GIRL",2018,496
"209","POL","BOY",2006,500
"210","POL","BOY",2009,505
"211","POL","BOY",2012,524.421
"212","POL","BOY",2015,504
"213","POL","BOY",2018,511
"214","POL","GIRL",2006,496
"215","POL","GIRL",2009,511
"216","POL","GIRL",2012,527.149
"217","POL","GIRL",2015,498
"218","POL","GIRL",2018,511
"219","PRT","BOY",2006,477
"220","PRT","BOY",2009,491
"221","PRT","BOY",2012,488.346
"222","PRT","BOY",2015,506
"223","PRT","BOY",2018,494
"224","PRT","GIRL",2006,472
"225","PRT","GIRL",2009,495
"226","PRT","GIRL",2012,490.224
"227","PRT","GIRL",2015,496
"228","PRT","GIRL",2018,489
"229","SVK","BOY",2006,491
"230","SVK","BOY",2009,490
"231","SVK","BOY",2012,474.658
"232","SVK","BOY",2015,460
"233","SVK","BOY",2018,461
"234","SVK","GIRL",2006,485
"235","SVK","GIRL",2009,491
"236","SVK","GIRL",2012,467.385
"237","SVK","GIRL",2015,461
"238","SVK","GIRL",2018,467
"239","ESP","BOY",2006,491
"240","ESP","BOY",2009,492
"241","ESP","BOY",2012,500.119
"242","ESP","BOY",2015,496
"243","ESP","BOY",2018,484
"244","ESP","GIRL",2006,486
"245","ESP","GIRL",2009,485
"246","ESP","GIRL",2012,492.658
"247","ESP","GIRL",2015,489
"248","ESP","GIRL",2018,482
"249","SWE","BOY",2006,504
"250","SWE","BOY",2009,493
"251","SWE","BOY",2012,481.151
"252","SWE","BOY",2015,491
"253","SWE","BOY",2018,496
"254","SWE","GIRL",2006,503
"255","SWE","GIRL",2009,497
"256","SWE","GIRL",2012,488.513
"257","SWE","GIRL",2015,496
"258","SWE","GIRL",2018,503
"259","CHE","BOY",2006,514
"260","CHE","BOY",2009,520
"261","CHE","BOY",2012,518.255
"262","CHE","BOY",2015,508
"263","CHE","BOY",2018,495
"264","CHE","GIRL",2006,509
"265","CHE","GIRL",2009,512
"266","CHE","GIRL",2012,512.331
"267","CHE","GIRL",2015,502
"268","CHE","GIRL",2018,495
"269","TUR","BOY",2006,418
"270","TUR","BOY",2009,448
"271","TUR","BOY",2012,458.316
"272","TUR","BOY",2015,422
"273","TUR","BOY",2018,465
"274","TUR","GIRL",2006,430
"275","TUR","GIRL",2009,460
"276","TUR","GIRL",2012,468.622
"277","TUR","GIRL",2015,429
"278","TUR","GIRL",2018,472
"279","GBR","BOY",2006,520
"280","GBR","BOY",2009,519
"281","GBR","BOY",2012,520.622
"282","GBR","BOY",2015,510
"283","GBR","BOY",2018,506
"284","GBR","GIRL",2006,510
"285","GBR","GIRL",2009,509
"286","GBR","GIRL",2012,507.883
"287","GBR","GIRL",2015,509
"288","GBR","GIRL",2018,503
"289","USA","BOY",2006,489
"290","USA","BOY",2009,509
"291","USA","BOY",2012,496.529
"292","USA","BOY",2015,500
"293","USA","BOY",2018,503
"294","USA","GIRL",2006,489
"295","USA","GIRL",2009,495
"296","USA","GIRL",2012,498.325
"297","USA","GIRL",2015,493
"298","USA","GIRL",2018,502
"299","BRA","BOY",2006,395
"300","BRA","BOY",2009,407
"301","BRA","BOY",2012,405.541
"302","BRA","BOY",2015,403
"303","BRA","BOY",2018,403
"304","BRA","GIRL",2006,386
"305","BRA","GIRL",2009,404
"306","BRA","GIRL",2012,403.949
"307","BRA","GIRL",2015,399
"308","BRA","GIRL",2018,404
"309","CHL","BOY",2006,448
"310","CHL","BOY",2009,452
"311","CHL","BOY",2012,448.441
"312","CHL","BOY",2015,454
"313","CHL","BOY",2018,445
"314","CHL","GIRL",2006,426
"315","CHL","GIRL",2009,443
"316","CHL","GIRL",2012,441.645
"317","CHL","GIRL",2015,440
"318","CHL","GIRL",2018,442
"319","EST","BOY",2006,530
"320","EST","BOY",2009,527
"321","EST","BOY",2012,540.177
"322","EST","BOY",2015,536
"323","EST","BOY",2018,528
"324","EST","GIRL",2006,533
"325","EST","GIRL",2009,528
"326","EST","GIRL",2012,542.608
"327","EST","GIRL",2015,533
"328","EST","GIRL",2018,533
"329","IDN","BOY",2006,399
"330","IDN","BOY",2009,378
"331","IDN","BOY",2012,380.409
