"","country","sex","field","level.of.education","year","percent","flags"
"54","Australia","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,24.39,""
"55","Australia","T","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.25,""
"56","Australia","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.015,""
"57","Australia","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.462,""
"58","Australia","T","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,6.708,""
"59","Australia","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,3.508,""
"60","Australia","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,10.432,""
"61","Australia","T","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.798,""
"62","Australia","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.038,""
"63","Australia","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.552,""
"64","Australia","T","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.797,""
"65","Australia","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.595,""
"66","Australia","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,12.835,""
"67","Australia","T","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,10.748,""
"68","Australia","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,5.862,""
"69","Australia","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,16.431,""
"70","Australia","T","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,16.977,""
"71","Australia","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.755,""
"72","Australia","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,24.174,""
"73","Australia","T","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.693,""
"74","Australia","F","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.754,""
"75","Australia","M","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.605,""
"76","Australia","T","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,0.593,""
"77","Australia","F","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,0.718,""
"78","Australia","M","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,0.449,""
"79","Australia","T","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.22,""
"80","Australia","F","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.292,""
"81","Australia","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.148,""
"82","Australia","T","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,20.804,""
"83","Australia","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,26.669,""
"84","Australia","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,12.375,""
"85","Australia","T","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,13.911,""
"86","Australia","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,18.186,""
"87","Australia","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,8.938,""
"88","Australia","T","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,15.83,""
"89","Australia","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,19.705,""
"90","Australia","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.968,""
"91","Australia","T","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.976,""
"92","Australia","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.709,""
"93","Australia","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.359,""
"94","Australia","T","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.814,""
"95","Australia","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.749,""
"96","Australia","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.89,""
"97","Australia","T","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.108,""
"98","Australia","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.087,""
"99","Australia","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.13,""
"100","Austria","T","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"101","Austria","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"102","Austria","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"103","Austria","T","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"104","Austria","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"105","Austria","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"106","Austria","T","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"107","Austria","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"108","Austria","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"109","Austria","T","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,17.333,""
"110","Austria","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,23.894,""
"111","Austria","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.065,""
"112","Austria","T","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,12.988,""
"113","Austria","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,17.673,""
"114","Austria","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,7.458,""
"115","Austria","T","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.176,""
"116","Austria","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.896,""
"117","Austria","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.762,""
"118","Austria","T","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.502,""
"119","Austria","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,12.298,""
"120","Austria","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.965,""
"121","Austria","T","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,8.151,""
"122","Austria","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,9.683,""
"123","Austria","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,6.342,""
