"","country","sex","field","level.of.education","year","percent","flags"
"657","Finland","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.825,""
"658","Finland","T","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,15.964,""
"659","Finland","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.029,""
"660","Finland","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,33.185,""
"661","Finland","T","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,16.386,""
"662","Finland","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,7.478,""
"663","Finland","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,29.298,""
"664","Finland","T","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,17.917,""
"665","Finland","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,10.285,""
"666","Finland","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,26.521,""
"667","Finland","T","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.212,""
"668","Finland","F","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.129,""
"669","Finland","M","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.344,""
"670","Finland","T","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,2.246,""
"671","Finland","F","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,2.505,""
"672","Finland","M","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.871,""
"673","Finland","T","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.13,""
"674","Finland","F","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.462,""
"675","Finland","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.755,""
"676","Finland","T","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,25.922,""
"677","Finland","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,36.828,""
"678","Finland","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.746,""
"679","Finland","T","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,12.444,""
"680","Finland","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,16.787,""
"681","Finland","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,6.149,""
"682","Finland","T","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,19.266,""
"683","Finland","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,24.134,""
"684","Finland","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.777,""
"685","Finland","T","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.856,""
"686","Finland","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.711,""
"687","Finland","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.085,""
"688","Finland","T","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,3.229,""
"689","Finland","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,2.543,""
"690","Finland","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,4.223,""
"691","Finland","T","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.756,""
"692","Finland","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.815,""
"693","Finland","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.689,""
"694","France","T","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"695","France","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"696","France","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"697","France","T","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"698","France","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"699","France","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"700","France","T","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"701","France","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"702","France","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"703","France","T","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.159,""
"704","France","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.979,""
"705","France","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.817,""
"706","France","T","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,9.158,""
"707","France","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,12.36,""
"708","France","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,5.206,""
"709","France","T","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.296,""
"710","France","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.774,""
"711","France","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.901,""
"712","France","T","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,16.845,""
"713","France","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,19.247,""
"714","France","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,12.916,""
"715","France","T","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,5.684,""
"716","France","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,7.039,""
"717","France","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,4.012,""
"718","France","T","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.978,""
"719","France","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,18.846,""
"720","France","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.955,""
"721","France","T","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.76,""
"722","France","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,11.359,""
"723","France","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.144,""
"724","France","T","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,7.436,""
"725","France","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,8.793,""
"726","France","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,5.76,""
"727","France","T","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.493,""
"728","France","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.076,""
"729","France","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.185,""
"730","France","T","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,30.053,""
"731","France","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,29.881,""
"732","France","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,30.336,""
"733","France","T","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,32.678,""
"734","France","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,33.671,""
"735","France","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,31.454,""
"736","France","T","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.103,""
"737","France","F","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,10.286,""
"738","France","M","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.125,""
"739","France","T","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.099,""
"740","France","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.617,""
"741","France","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,12.524,""
"742","France","T","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,7.758,""
"743","France","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,6.832,""
"744","France","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,8.9,""
"745","France","T","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,42.812,""
"746","France","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,39.954,""
"747","France","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,45.174,""
"748","France","T","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.029,""
"749","France","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.753,""
"750","France","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.753,""
"751","France","T","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,3.463,""
"752","France","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,1.328,""
"753","France","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,6.097,""
"754","France","T","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.369,""
"755","France","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.222,""
"756","France","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.143,""
"757","France","T","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.335,""
"758","France","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4.04,""
"759","France","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,15.361,""
"760","France","T","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,15.618,""
"761","France","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,9.158,""
"762","France","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,23.592,""
"763","France","T","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,14.17,""
"764","France","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,10.855,""
"765","France","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,16.91,""
"766","France","T","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.25,""
"767","France","F","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.192,""
"768","France","M","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.345,""
"769","France","T","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.022,""
"770","France","F","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.206,""
"771","France","M","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,0.796,""
"772","France","T","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"773","France","F","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"774","France","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"775","France","T","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,15.083,""
"776","France","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,20.085,""
"777","France","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.901,""
"778","France","T","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,16.419,""
"779","France","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,19.029,""
"780","France","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,13.197,""
"781","France","T","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.005,""
"782","France","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.287,""
"783","France","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.771,""
"784","France","T","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4.387,""
"785","France","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.848,""
"786","France","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.904,""
"787","France","T","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.764,""
"788","France","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.583,""
"789","France","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.988,""
"790","France","T","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.773,""
"791","France","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.7,""
"792","France","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.834,""
"793","Germany","T","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"794","Germany","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"795","Germany","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"796","Germany","T","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"797","Germany","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"798","Germany","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"799","Germany","T","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"800","Germany","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"801","Germany","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"802","Germany","T","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,13.242,""
"803","Germany","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,21.831,""
"804","Germany","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4.369,""
"805","Germany","T","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,10.049,""
"806","Germany","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,14.795,""
"807","Germany","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,4.816,""
"808","Germany","T","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.683,""
"809","Germany","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.384,""
"810","Germany","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.116,""
"811","Germany","T","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.749,""
"812","Germany","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,11.952,""
"813","Germany","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.441,""
"814","Germany","T","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,15.807,""
"815","Germany","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,21.418,""
"816","Germany","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,9.623,""
"817","Germany","T","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.416,""
"818","Germany","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.882,""
"819","Germany","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,6.228,""
"820","Germany","T","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.394,""
"821","Germany","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.668,""
"822","Germany","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.046,""
"823","Germany","T","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,7.676,""
"824","Germany","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,9.633,""
"825","Germany","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,5.519,""
"826","Germany","T","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,6.303,""
"827","Germany","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.733,""
"828","Germany","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.145,""
"829","Germany","T","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,25.314,""
"830","Germany","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,27.416,""
"831","Germany","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,23.143,""
"832","Germany","T","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,20.369,""
"833","Germany","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,19.513,""
"834","Germany","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,21.312,""
"835","Germany","T","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,8.607,""
"836","Germany","F","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,6.97,""
"837","Germany","M","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.932,""
"838","Germany","T","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.996,""
"839","Germany","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.432,""
"840","Germany","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.578,""
"841","Germany","T","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,11.639,""
"842","Germany","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,10.874,""
"843","Germany","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,12.483,""
"844","Germany","T","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,29.059,""
"845","Germany","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,27.15,""
"846","Germany","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,30.607,""
"847","Germany","T","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.042,""
"848","Germany","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.947,""
"849","Germany","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.239,""
"850","Germany","T","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,4.372,""
"851","Germany","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,1.62,""
"852","Germany","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,7.405,""
"853","Germany","T","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.426,""
"854","Germany","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.196,""
"855","Germany","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.234,""
"856","Germany","T","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,23.908,""
"857","Germany","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.09,""
"858","Germany","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,39.215,""
"859","Germany","T","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,19.356,""
"860","Germany","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,9.091,""
"861","Germany","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,30.671,""
"862","Germany","T","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,13.241,""
"863","Germany","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.845,""
"864","Germany","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,19.234,""
"865","Germany","T","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.856,""
"866","Germany","F","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.055,""
"867","Germany","M","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.684,""
"868","Germany","T","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.625,""
"869","Germany","F","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.878,""
"870","Germany","M","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.346,""
"871","Germany","T","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.472,""
"872","Germany","F","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.799,""
"873","Germany","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.397,""
"874","Germany","T","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.092,""
"875","Germany","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.111,""
"876","Germany","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.973,""
"877","Germany","T","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,8.042,""
"878","Germany","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,10.076,""
"879","Germany","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,5.801,""
"880","Germany","T","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,26.256,""
"881","Germany","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,34.427,""
"882","Germany","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,19.635,""
"883","Germany","T","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.407,""
"884","Germany","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.498,""
"885","Germany","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.312,""
"886","Germany","T","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,1.065,""
"887","Germany","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,1.102,""
"888","Germany","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,1.023,""
"889","Germany","T","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.535,""
"890","Germany","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.614,""
"891","Germany","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.472,""
"892","Greece","T","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"893","Greece","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"894","Greece","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"895","Greece","T","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"896","Greece","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"897","Greece","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"898","Greece","T","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"899","Greece","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"900","Greece","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"901","Greece","T","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.167,""
"902","Greece","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.692,""
"903","Greece","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.139,""
"904","Greece","T","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,7.86,""
"905","Greece","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,10.664,""
"906","Greece","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,3.937,""
"907","Greece","T","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,5.647,""
"908","Greece","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.727,""
"909","Greece","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.321,""
"910","Greece","T","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,13.737,""
"911","Greece","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,17.756,""
"912","Greece","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,8.005,""
"913","Greece","T","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,7.481,""
"914","Greece","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,8.781,""
"915","Greece","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,5.661,""
"916","Greece","T","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,12.84,""
"917","Greece","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,12.811,""
"918","Greece","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,12.863,""
"919","Greece","T","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,12.854,""
"920","Greece","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,14.146,""
"921","Greece","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,11.011,""
"922","Greece","T","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,15.814,""
"923","Greece","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,16.922,""
"924","Greece","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,14.264,""
"925","Greece","T","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,6.5,""
